X,Z,Accumulation_sb_m
0.0,0.0,0.0
2130000.0,5.289209017373315,-8.311951679069996e-05
2040000.0,95.41294669800982,-21.918240684768357
2040000.0,85.44236461827171,-31.888822764506497
2040000.0,82.2609248335752,-35.07026254920297
2040000.0,81.5307221989499,-35.80046518382826
2040000.0,77.18732960166827,-40.143857781109894
2040000.0,74.25098129138708,-43.0802060913911
2040000.0,71.71366194274287,-45.617525440035294
2040000.0,69.27046610334187,-48.06072127943631
2040000.0,66.91122914110511,-50.41995824167307
2040000.0,64.64937967612113,-52.68180770665705
2040000.0,62.42992396600821,-54.90126341676999
2040000.0,60.32688789567946,-57.00429948709874
2040000.0,58.29381607040153,-59.03737131237666
2040000.0,56.30097915922193,-61.03020822355626
2040000.0,54.40781314854549,-62.92337423423272
2040000.0,52.582268399533454,-64.74891898324475
2040000.0,50.83940779767394,-66.49177958510428
2040000.0,49.12190568916526,-68.20928169361295
2040000.0,47.454233746159524,-69.8769536366187
2040000.0,45.89383934694969,-71.4373480358285
2040000.0,44.3508203753627,-72.98036700741552
2040000.0,42.84966931959885,-74.48151806317935
2040000.0,41.428768954999,-75.90241842777921
2570000.0,-118.86945504951375,705.126792366626
2650000.0,-163.7336688274997,826.9570404497506
2040000.0,36.94786271469817,-80.38332466808002
2700000.0,-90.69567498655994,1011.3638668386754
2740000.0,-104.33312307401835,1089.0534527070752
2770000.0,-75.4387173909874,1184.6789803894678
2830000.0,-272.0134000420565,1126.495212720874
2860000.0,-538.7849979224007,931.5063110881933
2860000.0,-538.7852098523272,931.5060991582667
2860000.0,-514.4000212579008,955.891287752693
2860000.0,-492.7893114599044,977.5019975506893
2860000.0,-492.79000592474847,977.5013030858455
2860000.0,-462.8340561011306,1007.4572529094633
2860000.0,-462.8362635496397,1007.455045460954
2860000.0,-462.8384706268638,1007.4528383837297
2860000.0,-462.8406773300141,1007.4506316805794
2860000.0,-462.84288365287466,1007.4484253577189
2860000.0,-462.8450896027856,1007.4462194078078
2860000.0,-462.8472951843135,1007.4440138262801
2860000.0,-462.84950039566587,1007.441808614928
2860000.0,-462.8517052296873,1007.4396037809066
2860000.0,-462.853909687416,1007.4373993231782
2860000.0,-462.8561137761118,1007.4351952344825
2860000.0,-462.85831749749804,1007.4329915130962
2860000.0,-462.8605208471483,1007.4307881634456
2860000.0,-462.8627238209941,1007.4285851896001
2860000.0,-459.2605329242075,1011.0307760863866
2860000.0,-459.2215875171346,1011.0697214934595
2860000.0,-426.7118703578153,1043.5794386527791
2860000.0,-402.8297513987913,1067.4615576118033
2860000.0,-387.5641804201874,1082.7271285904071
2860000.0,-360.97529798087663,1109.316011029718
2860000.0,-320.85835085283844,1149.4329581577567
2860000.0,-283.7674528131403,1186.5238561974547
2860000.0,-247.10464870351439,1223.1866603070805
2860000.0,-247.09209230479274,1223.1992167058015
2860000.0,-237.17205301905923,1233.119255991535
2860000.0,-148.91363241170856,1321.3776765988855
2930000.0,-558.8940316458537,1076.6232467113778
2930000.0,-498.1806104432333,1137.3366679139976
2930000.0,-456.28447972088486,1179.2327986363462
2930000.0,-449.5658923301255,1185.9513860271056
2930000.0,-406.501581508857,1229.0156968483736
2930000.0,-406.50269789012776,1229.0145804671033
