X,Z,Flexure_sb_m,Accumulation_sb_m
0.0,0.0,0.0,0.0
2040000.0,106.27750657347623,-0.08069128303722853,-10.972989526264689
2000000.0,137.54310236472483,3.2078865157570906,-26.860779204822514
2000000.0,137.0199659625078,4.8134582287977095,-28.989487320080183
2040000.0,95.74630271643775,1.320074853266628,-22.90495951960707
2040000.0,82.1545998782885,2.8017042519727453,-37.978291756462475
2040000.0,79.71523056495619,4.381513369668536,-41.99747018749054
2040000.0,77.59156580201356,5.861102531895775,-45.600724112660416
2040000.0,75.8252600745604,7.574259792538409,-49.080187100756184
2040000.0,74.16822555230296,9.416471572046067,-52.5794334025213
2040000.0,72.57678292799638,11.29780517678949,-56.052209631571316
2040000.0,71.14016512801224,13.280831185850454,-59.47185344061643
2040000.0,69.83911158949608,15.362499394776682,-62.854575188058824
2040000.0,68.61705577464498,17.495477617266697,-66.20960922539996
2040000.0,67.47128479094422,19.680626163985135,-69.54052875581918
2040000.0,66.40826339289501,21.913810492595033,-72.83673448247826
2040000.0,65.43788370149076,24.201340888698667,-76.09464456998616
2040000.0,64.50605883113974,26.515132052364272,-79.34026060400281
2040000.0,63.61718924219343,28.841880619358996,-82.55587875994384
2040000.0,62.77384150547153,31.174541116817956,-85.73188699412468
2040000.0,61.97021307475716,33.51701971438893,-88.87799402241004
2040000.0,61.31904912116162,35.94981494413791,-91.96195320575455
2040000.0,60.72711846962972,38.390885045282175,-94.9949539584307
2040000.0,59.85223849232859,40.85499101867123,-98.3339399091209
2040000.0,58.82543246036456,43.30586763656355,-101.81162255897726
2040000.0,57.73769972657778,45.73249446483974,-105.3259821210402
2040000.0,56.56214680963624,48.15139778502509,-108.9204383581671
2040000.0,55.21105943650102,50.531400186887055,-112.6515281331643
2040000.0,53.80427130623782,52.92856522451868,-116.45548130105912
2040000.0,52.37107142463319,55.32292191172823,-120.2830378698733
2040000.0,50.874112035985156,57.68711452076741,-124.1441898675605
2040000.0,49.35113451032749,60.04440946549575,-128.02446233794652
2040000.0,47.91689804051795,62.42188654883267,-131.83617589109298
2040000.0,46.51899412317453,64.80165683483914,-135.6138500944429
2040000.0,48.349919968985134,66.82708171673293,-135.80834913052607
2040000.0,48.28172115311486,69.1050198594407,-138.15448608910413
2040000.0,47.92812166505163,71.29173696765974,-140.6948026853864
2040000.0,47.941461665635934,73.46522943032882,-142.8549551474712
2040000.0,47.75594947140586,75.68559991038788,-145.2608378217603
2040000.0,52.02734996761048,77.160523769482,-142.46436118464982
2040000.0,52.122419623854576,79.06675476102842,-144.27552251995215
2040000.0,51.412729713960594,80.8693409658693,-146.787798634687
2040000.0,51.46466681438009,82.64114351421584,-148.50766408261396
2040000.0,51.587150975918945,84.24472527532666,-149.98876168218595
2040000.0,52.483766021541605,85.73573276209846,-150.58315412333505
2040000.0,52.491846491873616,87.17943659987992,-152.01877749078446
2040000.0,52.067227318136574,88.54270234406148,-153.8066624087031
2790000.0,-755.9588905165142,-542.6079034327605,1095.3328595733167
2040000.0,51.4269361972985,90.51972107790014,-156.42397226337977
2040000.0,50.271450563988665,91.71687051457117,-158.7766073333606
2860000.0,-987.6581412260084,-551.0818296577226,1033.7149974423087
2860000.0,-974.1216717588647,-566.4039017736288,1062.5735390253587
2860000.0,-955.484965294556,-582.985184151989,1097.7915278680273
2860000.0,-926.508549248971,-600.9640402388326,1144.7468000004558
2860000.0,-901.0963736379421,-618.9271956258038,1188.1221309984555
2860000.0,-873.6848246536841,-637.9343522322239,1234.5408365891337
2860000.0,-841.737052134454,-657.1605559067983,1285.7148127829387
2860000.0,-816.0587891209194,-675.7886733586648,1330.0211932483392
2860000.0,-785.0737317714628,-694.4637164418043,1379.6812936809354
2860000.0,-754.3082886024094,-715.0480814306055,1431.03110183879
2930000.0,-1025.5702640769682,-678.3197135190909,1288.2667277993512
2930000.0,-998.7474844858583,-697.5934847777723,1334.3632786491426
2930000.0,-963.620867265559,-718.2238432046203,1390.1202542962897
2930000.0,-924.2132951286268,-742.9648176293879,1454.2688008579896
2930000.0,-887.0288288173582,-766.0122368003563,1514.5006863402266
2930000.0,-849.8432405612933,-790.0542081930314,1575.7282459889666
2930000.0,-801.4697799126656,-817.517012409077,1651.5645108536398
2930000.0,-764.8055301251045,-843.9144475542922,1714.6261957864158
2930000.0,-726.2432865995593,-872.69336177865,1781.9673535363186
2930000.0,-691.5221528857402,-899.6518080563055,1843.646933527793
2930000.0,-670.5545272713422,-919.9913793097032,1884.9541303955884
2930000.0,-638.8504141927822,-943.0916792403444,1939.7585434047903
2930000.0,-606.8128474561933,-968.2816065685848,1996.986037469619
2930000.0,-571.1144897764184,-997.7646498752385,2062.167438456047
2930000.0,-540.9435652178546,-1028.5298712718882,2123.103584411259
2930000.0,-516.8786255482818,-1051.3330940759174,2169.9717468848607
2060000.0,20.965054394176583,92.82936573469578,-159.3262381097214
2930000.0,-458.86872539989776,-1104.501810077731,2281.150363035059
2930000.0,-415.13838784132145,-1133.0501624862516,2353.429053002156
2930000.0,-366.3617308263239,-1159.3289146085206,2428.484462139421
2930000.0,-311.2994243420912,-1187.6212167703034,2511.839070785437
2930000.0,-278.1030675486526,-1208.0213897915798,2565.4356006001535
2930000.0,-245.08625335838718,-1229.157449921432,2619.5884749202723
2930000.0,-216.90049630652211,-1250.1590499709032,2668.775832021608
2060000.0,7.014839289229751,101.23850259039637,-181.68559007036885
2060000.0,5.649902119793174,102.26719713311877,-184.0792217825278
3020000.0,-468.70930988048923,-1241.4359219384837,2626.0825475696956
3020000.0,-441.9179132387021,-1259.418356223234,2670.856378496234
3050000.0,-562.1341179619056,-1240.3279036982917,2602.5086757047748
3020000.0,-402.67396885797734,-1288.8036669634075,2739.485633617132
3050000.0,-534.7383450420087,-1264.5677982331013,2654.144343159482
3050000.0,-530.5644238471441,-1273.4376735662424,2667.188139687488
3020000.0,-370.1631706123214,-1320.8040355108997,2803.9968004102802
3050000.0,-490.19748467386813,-1302.7530627769754,2736.8704680714955
3050000.0,-478.319151516363,-1313.0381654310454,2759.0339038830707
3050000.0,-476.1687547298283,-1319.2374598787117,2767.383595117272
3050000.0,-466.93830966998064,-1328.06376123756,2785.440341535967
3050000.0,-457.4170299839614,-1335.7270200025544,2802.624879986981
3050000.0,-447.29181188145816,-1345.962363278862,2822.9854413657918
3050000.0,-440.6231345644624,-1352.210890998123,2835.9026464020485
3050000.0,-429.5384564066282,-1360.110022127411,2854.8864556891704
3050000.0,-429.46271828991433,-1365.379159332616,2860.231331011089
3080000.0,-549.3490701344689,-1327.1361589702174,2777.2414678074665
3050000.0,-419.30411000227025,-1372.3501830863618,2877.3609630524793
3050000.0,-420.5702833008624,-1373.6950439219852,2877.4396505895106
3050000.0,-421.0609846587048,-1374.200111275565,2877.4540165852486
3050000.0,-418.3158595676487,-1374.5653785168215,2880.564408917561
3050000.0,-418.22625140605277,-1374.47788320841,2880.5665217707456
3050000.0,-417.9261213110187,-1374.179864823236,2880.568633480605
3050000.0,-416.5300338208998,-1374.6102822447253,2882.395138392213
3050000.0,-413.734414385194,-1374.8278442699102,2885.4083198531043
3050000.0,-413.93384222016135,-1375.029041686618,2885.410089434844
3050000.0,-413.98448861054845,-1375.0814560690872,2885.411857426926
3050000.0,-413.54265321227473,-1374.641387393285,2885.4136241493975
3050000.0,-412.43105294490226,-1373.5315531580513,2885.415390181536
3050000.0,-411.25941610524734,-1372.361682011637,2885.4171558747767
3050000.0,-409.9302033552709,-1371.0342346029295,2885.4189212160454
3050000.0,-408.570344138301,-1369.6761403390149,2885.4206861691005
3050000.0,-406.9089466875634,-1368.0165075291416,2885.422450809965
3050000.0,-405.3043812291413,-1366.4137063882035,2885.4242151274493
