X,Z,Accumulation_sb_m
0.0,0.0,0.0
2130000.0,5.289209017373315,-8.311951679069996e-05
2040000.0,95.41294669800982,-21.918240684768357
2040000.0,85.44236461827171,-31.888822764506497
2040000.0,82.2609248335752,-35.07026254920297
2040000.0,81.5307221989499,-35.80046518382826
2040000.0,77.18732960166827,-40.143857781109894
2040000.0,74.25098129138708,-43.0802060913911
2040000.0,71.71366194274287,-45.617525440035294
2040000.0,69.27046610334187,-48.06072127943631
2040000.0,66.91122914110511,-50.41995824167307
2040000.0,64.64937967612113,-52.68180770665705
2040000.0,62.42992396600821,-54.90126341676999
2040000.0,60.32688789567946,-57.00429948709874
2040000.0,58.29381607040153,-59.03737131237666
2040000.0,56.30097915922193,-61.03020822355626
2040000.0,54.40781314854549,-62.92337423423272
2040000.0,52.582268399533454,-64.74891898324475
2040000.0,50.83940779767394,-66.49177958510428
2040000.0,49.12190568916526,-68.20928169361295
2040000.0,47.454233746159524,-69.8769536366187
2040000.0,45.89538599120013,-71.43580139157807
2040000.0,44.45719686343587,-72.87399051934233
2010000.0,85.44158591188463,-71.21813477375827
2930000.0,-1314.2520224490597,321.26525590817164
2930000.0,-1294.5403722216367,340.97690613559416
2930000.0,-1294.5406626569418,340.9766157002891
2050000.0,57.72866889934957,-56.190062575239644
2010000.0,109.85357299371373,-46.80614769192919
2930000.0,-1271.1935349401913,364.3237434170395
2060000.0,40.83093696753111,-46.630989801671014
2060000.0,37.90071841626623,-49.56120835293591
1990000.0,80.51993502824124,-86.63287987406703
1990000.0,77.3146486564389,-89.83816624586936
2930000.0,-1170.725136840447,464.792141516784
2060000.0,41.24196475339455,-46.21996201580763
2060000.0,38.05848669317946,-49.40344007602273
1990000.0,76.85054740462603,-90.30226749768221
1990000.0,73.99798497116682,-93.15482993114144
2620000.0,-134.38105113597345,795.6573359785133
2620000.0,-127.62687477653726,802.4115123379496
1990000.0,76.0165359409581,-91.13627896135014
1990000.0,71.36647489023814,-95.7863400120701
1990000.0,68.41794820403014,-98.73486669827805
2930000.0,-1019.6368186906238,615.8804596666075
2930000.0,-1018.8915355661833,616.6257427910481
2930000.0,-1018.8920260958316,616.6252522613999
1990000.0,65.69043355240194,-101.46238134990628
1990000.0,63.38007039002609,-103.77274451228213
2930000.0,-951.937730818701,683.5795475385305
2930000.0,-912.3394653975564,723.1778129596752
2930000.0,-889.5148942192507,746.002384137981
2930000.0,-848.802618283573,786.7146600736586
2930000.0,-816.6093913408284,818.9078870164033
2930000.0,-790.8537680431456,844.6635103140862
2930000.0,-743.9531094299136,891.5641689273181
2930000.0,-736.2620365572985,899.2552417999332
2930000.0,-723.7703132608091,911.7469650964225
2930000.0,-684.9587887370277,950.5584896202037
2930000.0,-671.944369007414,963.5729093498176
2930000.0,-669.1290257555469,966.3882526016846
2930000.0,-669.1294735486129,966.3878048086189
2930000.0,-669.1299212276638,966.3873571295677
2930000.0,-669.1303687957604,966.3869095614713
2930000.0,-643.7977616274411,991.7195167297906
2930000.0,-561.3704691325833,1074.1468092246487
2930000.0,-536.5386747405431,1098.978603616689
2930000.0,-499.0075735816039,1136.5097047756278
2930000.0,-411.3349485636217,1224.1823297936105
2930000.0,-410.0089177233365,1225.5083606338958
