X,Y,Z,River_mouth_Lengh_m,Accumulation_m,Accumulation_max_m,Total_accumulation
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2095914.7115940875,1004501.8438864843,-18.152490935062648,1715486.9181470932,0.004224125565209104,0.0,0.0
2148028.284324738,1001378.0188572089,-1.0302372104801403,2361197.390139723,93.30004046981861,14.675563583392995,-1.441826327741725
2148028.284324738,1001378.0188572089,-0.01156264865804965,2361197.390139723,93.39156266299594,32.032028198444294,-50.75294406855034
2148028.284324738,1001378.0188572089,-1.6390873093741179e-06,2363073.2137892935,93.40989614461516,43.69011725911083,-5.8498173981760795
2169664.479249574,1019179.0124717883,-2.0937796775383803e-05,2394270.7070934605,126.34598339077891,59.80648317164006,29.133213559303606
2181341.973099666,1019150.4801760189,-0.0037917184048027576,2405948.2358008046,139.84800490427193,67.46649360027469,-155.18191039446003
2175634.2387999813,997687.9774168159,-0.00018598783549108108,2416783.069906937,144.43661801961497,81.20848114997216,-112.49381988109795
2183056.3721402166,1004161.1639652929,-3.2213347830091514e-09,2415751.985093879,144.4368424010443,87.14202081646951,104.8913420847111
2193722.241329469,998999.7465615077,-6.446883207608591e-07,2436446.722103958,156.17623075384816,92.06132059941696,-274.0397987692772
2211540.544439087,984633.2364613604,-0.0011603170505635324,2464804.6840900676,186.2452379269065,100.07953584502226,7.312639027289268
2219287.359358691,1017857.701558614,-1.2317243839835133e-06,2444536.8788266648,195.48664034603743,115.36279303420629,129.64178277375538
2203919.097860776,974266.9215533704,-1.9070500799327292e-06,2449597.9814755674,169.65118731135053,123.06619932475674,-20.798647828779316
2221423.089674948,1053874.8811471693,-9.798965180286679e-11,2466555.087317504,194.50655946223654,135.64715236912545,-548.9400017892618
2246274.7996964194,1043119.9061868045,-2.0066669102045015e-07,2498972.8768508825,238.31249193670672,138.57787549176163,133.3489736009088
2279488.87326143,1027843.2215027265,-2.4309648375032586e-06,2554571.3235668708,288.4549159071525,152.6011437163904,564.0794610913881
2283890.3963207463,1003877.8893704207,-0.00020606161834136683,2571612.601545753,293.3307198206406,173.73265979044413,437.8750511802075
2293523.569369311,1047765.3484864028,-1.0038862430870521e-06,2559828.7081446666,302.95979740370115,179.2510267962564,305.17619940157795
2247879.995066394,941829.5480911427,-1.1207173663119832e-07,2893758.5455466793,238.58098893409309,203.42381431791392,218.35766214952966
2281750.944672773,925761.3611147552,-9.856493115768032e-07,2613072.447616066,287.984307915028,217.60290013817885,110.38254224945109
2282733.4746276815,913483.5594139075,-4.133360429535085e-08,2620224.0855351537,283.1357877609888,215.51934350745051,-468.02645898915205
2435119.08008986,839510.4896144465,-25.364372231790565,2340685.7365561933,524.65992402387,213.7456872679147,141.41840374849673
2370493.384290901,826410.4454972697,-15.116152574784547,2750701.2805514447,409.42308191264414,219.9633478944692,-16.552480144399283
2035829.0039167313,985422.8198164792,12.133007986769924,2651914.520249858,-63.730295633585435,222.9521595596985,-345.793788268013
2134271.065747566,973974.7905170463,23.350413192242886,2410122.332839256,-12.935471136612485,241.00599924068422,33.13611784882701
2291217.5895980024,801303.0218684052,-0.09024354157361081,2735864.522819874,282.6284531264026,259.9296301704587,1321.7129519816265
2422130.1508046906,703615.1426049338,-29.8035670116035,2989368.230558795,470.55031071480937,262.329617966942,3499.794620384557
2290386.297949567,728007.472371142,-15.232327198846686,2812508.857132919,257.34493832380707,272.5951849239473,6031.767183274853
2041792.2143770335,1030902.2423259359,14.429128911221328,2290343.6643838375,-115.96737385983016,265.89825630584835,7495.872274061917
2156076.9343913007,975236.61916483,23.583470196894673,2485656.7689338103,139.0105816599892,275.5198792275983,8223.462842800524
2393774.8638640936,974232.5848873009,-0.1571968230320777,2790013.7812885,482.08842653177385,295.3673746137943,8605.184409048015
2517890.7982283235,972737.087234689,-29.857206662687467,2973978.9325483525,699.545434376143,297.7082446934723,8960.66442684124
2437731.4385835873,1020591.6639121321,-17.48882438727729,2861285.7068563197,555.5150591192587,314.6060822555868,9025.878237017181
2186210.2174697835,1051711.9551706573,13.64571624270227,2565723.6887220955,164.19167369236553,320.6925573548556,9547.039227809832
2173747.0576303736,962743.672048843,23.69794054881225,2873942.343664348,147.29726624936657,318.75474736444113,10092.716914170556
2390153.6034125276,794969.7000029688,-0.2447446231847455,2918013.6682107616,449.1081576642132,320.9946940164332,10801.820654351104
2525151.377329532,671098.5773681058,-24.25923076601886,3180187.650837397,668.1742713126928,338.08625197164116,14128.343088315598
2455956.6231452175,677490.2445991973,-15.878393692901222,3101692.70664999,547.0367025605277,355.1249300172063,19361.198465780162
2257807.7218746236,964456.1094307128,13.464239587885759,2646684.4332458265,272.8218942957295,377.69451478699034,22212.127359532282
2189749.926685347,899802.7126208091,23.272174712246017,2572821.883523602,168.1298843316113,381.32963746518453,24030.98928372654
2456510.6039854423,838725.1664979126,-0.28336572100643276,2958981.834698922,585.807636472432,427.28580633167456,26628.885285602577
2600386.3128863913,803252.5350794288,-26.60696949265006,3178716.1730354615,836.9111569297178,485.6396981477884,29826.25894498301
2546984.9362881905,869264.9640955573,-15.813067199962738,3074765.238934191,754.6837230112799,555.9276597576904,33658.30131578292
2235676.8657196006,845006.0848638642,13.694249829161842,2640269.693129911,229.14017159541083,578.8289123557025,37468.7825527073
2211540.544439087,984633.2364613604,23.517256104131917,2549539.956202306,210.2620485248295,601.1618152740516,41287.4087819897
2420603.8346999832,1233085.2211751516,-0.6603804719852482,2969476.8023504373,502.81580120636266,635.6505422398149,43648.065915118954
2541457.812172252,1284173.71012445,-24.735855155341714,3185939.7758069,702.0893700394572,682.8001352219344,45820.16920486385
2463276.1624827543,1216836.1397130035,-15.084295185738345,3022379.750952592,562.4201897801161,712.4487239885561,47300.38636400902
2294587.2111838004,1089196.8422522058,14.696480059573098,2713221.702435311,311.750773318278,725.1445822246188,48585.06637432455
2236797.7031071084,993921.4307023259,23.51211235678116,2611265.013657827,255.55121028985133,748.6161469043382,49904.417141963524
2475019.0309321242,874855.0097424182,-0.41130744895720184,2990402.0636901828,629.8067508016617,774.3875586320966,51075.83650739703
2679175.636928764,863254.9553365058,-25.122099329288044,3305356.9271490844,1016.6799342033225,800.4505452972644,53019.51012132406
2586780.746475497,825459.7413927697,-14.829072980377214,3162416.5588901294,829.2420406209513,827.0475198951567,55355.95111085691
2340653.9650490126,1029732.4756029471,13.892840753169482,2729239.262947401,404.6868312205308,845.1660397209911,58301.81049154846
2236797.7031071084,993921.4307023259,23.44914600937377,2076000.3533224154,255.5222821448228,863.6099415419758,61598.8448234546
2545049.178163697,1021629.0087928236,-0.16268987695549952,2931276.0827823123,779.1497976879905,887.6133251910371,64139.894301925226
